gene1	gene2	rho	p.value	FDR	limited
222	Ndn	Ncald	0.331994907116652	5.999994000006e-06	0.000162377988882515	FALSE
223	Nefl	Prkar1b	0.331942742812823	5.999994000006e-06	0.000162377988882515	FALSE
224	Ccl4	C1qb	0.331875478315779	5.999994000006e-06	0.000162377988882515	FALSE
225	Cpne6	Adora1	-0.331668193845299	5.999994000006e-06	0.000162377988882515	FALSE
226	Miat	Tubb4a	-0.331502091719946	5.999994000006e-06	0.000162377988882515	FALSE
227	Leng8	Gap43	-0.331422472519364	5.999994000006e-06	0.000162377988882515	FALSE
228	Calb1	Rab26	-0.330931029867496	5.999994000006e-06	0.000162377988882515	FALSE
229	Nrsn1	Rnf187	0.330672953838023	5.999994000006e-06	0.000162377988882515	FALSE
230	Nrsn1	Dnajc5	0.330207593338069	5.999994000006e-06	0.000162377988882515	FALSE
231	Galnt9	Cplx1	0.330053845916256	5.999994000006e-06	0.000162377988882515	FALSE
232	Cnih3	Snap47	0.329731250879415	5.999994000006e-06	0.000162377988882515	FALSE
233	Snhg11	Tubb4a	-0.323568999303332	5.999994000006e-06	0.000162377988882515	FALSE
234	Pcp4	Tmem145	-0.322441975791645	5.999994000006e-06	0.000162377988882515	FALSE
235	Fam163b	Snhg11	-0.322057607237111	5.999994000006e-06	0.000162377988882515	FALSE
236	Rgs11	Nrsn1	-0.321501645577874	5.999994000006e-06	0.000162377988882515	FALSE
237	Snhg11	Napb	-0.321354761880249	5.999994000006e-06	0.000162377988882515	FALSE
238	Fam131a	Rn45s	-0.319088360153336	5.999994000006e-06	0.000162377988882515	FALSE
239	Ndn	Snap47	0.328893876528466	7.999992000008e-06	0.000210318157028782	FALSE
240	Dnajc5	Napb	0.327552704822109	7.999992000008e-06	0.000210318157028782	FALSE
241	Cyr61	Fos	0.326941833369368	7.999992000008e-06	0.000210318157028782	FALSE
242	Chgb	Clip3	0.326874568872324	7.999992000008e-06	0.000210318157028782	FALSE
243	Rgs11	Snap47	-0.318034092118042	7.999992000008e-06	0.000210318157028782	FALSE
244	Ncald	Miat	-0.318016246435153	7.999992000008e-06	0.000210318157028782	FALSE
245	Sprn	Meg3	-0.31512112757261	7.999992000008e-06	0.000210318157028782	FALSE
246	Bmp1	Fcho1	0.326142895873872	9.99999000001e-06	0.000258674440120741	FALSE
247	Nrsn1	Eif4h	0.326081122356179	9.99999000001e-06	0.000258674440120741	FALSE
248	Plekhb2	Napb	0.326000130410759	9.99999000001e-06	0.000258674440120741	FALSE
249	Plekhb2	Meg3	-0.31340656927042	9.99999000001e-06	0.000258674440120741	FALSE
250	Dnajc5	Snap47	0.323949249623353	1.1999988000012e-05	0.000283120596000283	FALSE
251	Hpcal4	Tubb4a	0.323196985452337	1.1999988000012e-05	0.000283120596000283	FALSE
252	Tollip	Rnf187	0.322253909748891	1.1999988000012e-05	0.000283120596000283	FALSE
253	2900011O08Rik	Fam131a	0.321490663619173	1.1999988000012e-05	0.000283120596000283	FALSE
254	Tollip	Clip3	0.321373980307975	1.1999988000012e-05	0.000283120596000283	FALSE
255	Fam163b	Snap47	0.31873968296458	1.1999988000012e-05	0.000283120596000283	FALSE
256	Ndn	Tubb4a	0.317844653330451	1.1999988000012e-05	0.000283120596000283	FALSE
257	Hpcal4	Eif4h	0.317519312803934	1.1999988000012e-05	0.000283120596000283	FALSE
258	Cnih3	Napb	0.317347719699232	1.1999988000012e-05	0.000283120596000283	FALSE
259	Sprn	Ncdn	0.31699080604145	1.1999988000012e-05	0.000283120596000283	FALSE
260	Nrsn1	Ncdn	0.316185004821766	1.1999988000012e-05	0.000283120596000283	FALSE
261	Rasl11b	Chgb	0.315935165261319	1.1999988000012e-05	0.000283120596000283	FALSE
262	Robo3	Bmp1	0.315837700377848	1.1999988000012e-05	0.000283120596000283	FALSE
263	Sirt7	Trim46	0.315753962942753	1.1999988000012e-05	0.000283120596000283	FALSE
264	Nptx1	Chgb	0.314976989364659	1.1999988000012e-05	0.000283120596000283	FALSE
265	Rgs11	Slc3a2	0.314241198131694	1.1999988000012e-05	0.000283120596000283	FALSE
266	Ndn	Eif4h	0.314003713274786	1.1999988000012e-05	0.000283120596000283	FALSE
267	Cplx1	Snap47	0.313871929770374	1.1999988000012e-05	0.000283120596000283	FALSE
268	Mbp	Cplx1	0.313848593108135	1.1999988000012e-05	0.000283120596000283	FALSE
269	Cplx1	Clip3	0.313687981962133	1.1999988000012e-05	0.000283120596000283	FALSE
270	Cplx1	Napb	0.313619344720252	1.1999988000012e-05	0.000283120596000283	FALSE
271	Sprn	Eif4h	0.312867080549235	1.1999988000012e-05	0.000283120596000283	FALSE
272	Nefl	Napb	0.311179977143798	1.1999988000012e-05	0.000283120596000283	FALSE
273	Plekhb2	Aamp	0.310236901440352	1.1999988000012e-05	0.000283120596000283	FALSE
274	Cpne6	Nrsn1	-0.308559407248779	1.3999986000014e-05	0.000327905126640328	FALSE
275	Cpne6	Mbp	-0.307871662085131	1.3999986000014e-05	0.000327905126640328	FALSE
276	Rgs11	Miat	0.309284216523043	1.5999984000016e-05	0.000356594799114543	FALSE
277	Nefl	Ncdn	0.309145569294443	1.5999984000016e-05	0.000356594799114543	FALSE
278	Limk2	Adam11	0.30876669171926	1.5999984000016e-05	0.000356594799114543	FALSE
279	Plekhb2	Snap47	0.307771451711984	1.5999984000016e-05	0.000356594799114543	FALSE
280	Gaa	Clip3	0.307742624070394	1.5999984000016e-05	0.000356594799114543	FALSE
281	Dnajc5	Rnf187	0.306647173689972	1.5999984000016e-05	0.000356594799114543	FALSE
282	5031439G07Rik	Adam11	0.30647558058527	1.5999984000016e-05	0.000356594799114543	FALSE
283	Cyr61	Fezf2	0.306465971371406	1.5999984000016e-05	0.000356594799114543	FALSE
284	Prkar1b	Rn45s	-0.305741162097142	1.5999984000016e-05	0.000356594799114543	FALSE
285	Cplx1	Chgb	0.30475004032438	1.5999984000016e-05	0.000356594799114543	FALSE
286	Malat1	Sirt7	0.304141914361313	1.5999984000016e-05	0.000356594799114543	FALSE
287	Dkk3	Chgb	0.303975812235961	1.5999984000016e-05	0.000356594799114543	FALSE
288	Cnih3	Cplx1	0.30342808704575	1.5999984000016e-05	0.000356594799114543	FALSE
289	Dnajc5	Tubb4a	0.303179620230141	1.5999984000016e-05	0.000356594799114543	FALSE
290	Miat	Snap47	-0.303908547738918	1.7999982000018e-05	0.00039036324600039	FALSE
291	Ndn	Meg3	-0.303073918877644	1.7999982000018e-05	0.00039036324600039	FALSE
292	Snap47	Rn45s	-0.30300116340125	1.7999982000018e-05	0.00039036324600039	FALSE
293	Ndn	Snhg11	-0.302950371842258	1.7999982000018e-05	0.00039036324600039	FALSE
