,n_per_clone,area,source,pre_cell_layer,post_cell_layer,p_sis,p_sis_se,p_sis_sim,p_sis_se_sim,p_sis_ci_sim
52,60,0.018869191,Yu2009,L5,L4,0.199784184,0.04580546,0.209553155,0.052308457,0.097518954
53,60,0.018869191,Yu2009,L5,L5,0.199784184,0.04580546,0.209630766,0.052323111,0.097441344
54,60,0.023844083,Cadwell2019,L2/3,L2/3,0.010464466,0.007592049,0.010940158,0.008208525,0.014816733
55,60,0.023844083,Cadwell2019,L2/3,L4,0,0,0,0,0
56,60,0.023844083,Cadwell2019,L2/3,L5,0.136172458,0.094498217,0.259062752,0.300016226,0.740937248
57,60,0.023844083,Cadwell2019,L4,L2/3,0.050477627,0.018498997,0.054377288,0.022438831,0.041726943
58,60,0.023844083,Cadwell2019,L4,L4,0.030154849,0.010664634,0.031740511,0.011996016,0.022778153
59,60,0.023844083,Cadwell2019,L4,L5,0.140245583,0.094596479,0.261909741,0.297113866,0.738090259
60,60,0.023844083,Cadwell2019,L5,L2/3,0.032933336,0.028690825,0.080321252,0.194865511,0.089340862
61,60,0.023844083,Cadwell2019,L5,L4,1,0,1,0,0
62,60,0.023844083,Cadwell2019,L5,L5,0.007281445,0.007374484,0.007748729,0.008257679,0.015399945
63,60,0.023844083,Yu2009,L2/3,L2/3,0.163805133,0.039244972,0.172727292,0.045587003,0.084997965
64,60,0.023844083,Yu2009,L2/3,L4,0.163805133,0.039244972,0.172745277,0.0456047,0.085255854
65,60,0.023844083,Yu2009,L2/3,L5,0.163805133,0.039244972,0.172777523,0.045644258,0.085223607
66,60,0.023844083,Yu2009,L4,L2/3,0.163805133,0.039244972,0.172699387,0.04566696,0.085301744
67,60,0.023844083,Yu2009,L4,L4,0.163805133,0.039244972,0.172780186,0.045676675,0.085199092
68,60,0.023844083,Yu2009,L4,L5,0.163805133,0.039244972,0.172774012,0.045586953,0.085227118
69,60,0.023844083,Yu2009,L5,L2/3,0.163805133,0.039244972,0.172733508,0.045726227,0.085267622
70,60,0.023844083,Yu2009,L5,L4,0.163805133,0.039244972,0.172756788,0.045567086,0.085244342
71,60,0.023844083,Yu2009,L5,L5,0.163805133,0.039244972,0.172675367,0.045474374,0.084940379
72,86,0.018869191,Cadwell2019,L2/3,L2/3,0.019291447,0.01387124,0.020043038,0.014866834,0.026829272
73,86,0.018869191,Cadwell2019,L2/3,L4,0,0,0,0,0
74,86,0.018869191,Cadwell2019,L2/3,L5,0.226739521,0.140851127,0.334972319,0.281394645,0.665027681
75,86,0.018869191,Cadwell2019,L4,L2/3,0.089987137,0.031606181,0.095951419,0.037161695,0.069164681
